Company Sales Performance Report & Forecast Data,,,,,,,,,,
Confidential - Internal Use Only,,,,,,,,,,
Generated on: 2026-07-16,,,,,,,,,,
,,,,,,,,,,
Order ID,Order_Date,Customer Name,Region ,Product Category,Revenue ($),Quantity,Status,Blank_Column_1,Blank_Column_2,Blank_Column_3
ORD-01031,12-05-2024,Aakash Bhat,South,Office Supplies,3277.52,five,Active,nan,,nan
ORD-01605,22-05-2023,Deepa Pillai,East,Furniture,0.0,5,Cancelled,nan,,nan
ORD-01746,10-01-2023,Sanjay Joshi,  West ,Electronics,44803.83,5.5,Active,nan,,nan
ORD-01345,11-05-2023,Riya Malhotra,  East ,Electronics,0.0,4,Cancelled,nan,,nan
ORD-01375,20-04-2023,Sneha Gupta,East,Electronics,"$9,283.40",5,Active,nan,,nan
ORD-01799,20-02-2023,nan,  West ,Office Supplies,294.52,30,Active,nan,,nan
ORD-01427,20-06-2023,Geeta Pandey,West,Electronics   ,14704.44,4,Active,nan,,nan
ORD-01841,02-10-2024,Meena Krishnan,North,Electronics   ,42530.84,nan,Active,nan,,nan
ORD-01260,2023/05/08,Harsh Shah,West,Furniture,13456.55,7,Active,nan,,nan
ORD-01208,16-03-2024,Sanjay Joshi,West,Office Supplies   ,2477.67,17,Active,nan,,nan
ORD-02377,2024-02-31,Harsh Shah,South,Furniture,5637.16,8, Active,nan,,nan
ORD-01537,19-10-2024,Dev Mathur,East,Furniture   ,15973.22,6,Active,nan,,nan
ORD-01177,03-12-2024,nan,  West ,Office Supplies   ,NA,13.5,Active,nan,,nan
ORD-01547,19-07-2024,Lakshmi Venkat,North,Office Supplies   ,nan,28,Active,nan,,nan
ORD-01589,02-11-2023,Tara Saxena,  East ,Office Supplies,"$2,107.48",11,Active,nan,,nan
ORD-02206,26-08-2023,Varun Naik,North,Office Supplies,0.0,20,Cancelled,nan,,nan
ORD-01078,01-04-2024,Deepa Pillai,East,Furniture,8266.23,4, Active,nan,,nan
ORD-02155,24-11-2024,Neha Tiwari,  North ,Furniture,14326.6,1,Active,nan,,nan
ORD-01013,2024-02-31,Lakshmi Venkat,North,Electronics,nan,5, Cancelled,nan,,nan
ORD-02012,15-01-2023,Kiran Nambiar,West,Electronics   ,11754.15,4,Active,nan,,nan
ORD-01449,01-11-2024,Harsh Shah,  West ,Furniture   ,12061.81,3,Active,nan,,nan
ORD-01757,29-08-2023,Meena Krishnan,North,Office Supplies,2636.6,7,Active,nan,,nan
ORD-01227,23-02-2024,Gaurav Mishra,South,Electronics,ERROR,3,Active,nan,,nan
ORD-01813,2023/06/08,Sneha Gupta,East,Electronics,6917.64,3,Active,nan,,nan
ORD-02486,12-10-2024,Arjun Reddy,  South ,Furniture,"$13,939.24",nan,Active,nan,,nan
ORD-02170,24-12-2023,Arjun Reddy,  South ,Furniture,0.0,3,Returned,nan,,nan
ORD-01711,25-09-2023,Dev Mathur,  East ,Furniture,0.0,7,Returned,nan,,nan
ORD-02429,31-05-2024,Priya Patel,East,Electronics   ,14119.6,5,Active,nan,,nan
ORD-01950,03-02-2023,Gaurav Mishra,South,Electronics   ,27123.05,2,Active,nan,,nan
ORD-02492,Not Available,  Tarun Mukerjee  ,West,Electronics,30613.88,5, Active,nan,,nan
ORD-01116,02-06-2023,Ajay Rastogi,North,Electronics,44731.18,1,Active,nan,,nan
ORD-01924,21-05-2024,  Vikram Singh  ,  West ,Electronics,$0.00,1,nan,nan,,nan
ORD-01696,10-02-2023,Ajay Rastogi,North,Electronics   ,12215.08,2,Active,nan,,nan
ORD-02067,05-11-2023,Nikhil Desai,South,Office Supplies,1300.7,18,Active,nan,,nan
ORD-01072,29-08-2023,Vivek Chopra,West,Electronics   ,"$7,313.05",five, Active,nan,,nan
ORD-01349,31-08-2024,Priya Patel,East,Office Supplies,"$2,476.34",2,nan,nan,,nan
ORD-02138,13-11-2023,Harsh Shah,West,Office Supplies,471.09,28,Active,nan,,nan
ORD-02072,23-12-2023,  Vivek Chopra  ,  West ,Electronics,36913.11,5,Active,nan,,nan
ORD-01884,nan,Geeta Pandey,West,Office Supplies   ,1767.21,26, Active,nan,,nan
ORD-01809,17-07-2024,Meena Krishnan,  North ,Furniture,8220.75,7,Active,nan,,nan
ORD-02462,07-03-2023,Asha Kulkarni,South,Office Supplies,2512.43,26,Active,nan,,nan
ORD-02178,02-07-2023,Suresh Rao,West,Furniture   ,1878.63,4,Active,nan,,nan
ORD-02351,03-07-2024,Sunita Menon,nan,Electronics,17993.49,2,Active,nan,,nan
ORD-01233,2023/08/20,Pooja Iyer,  North ,Furniture,15246.38,2,Active,nan,,nan
ORD-01726,29-10-2023,Gaurav Mishra,  South ,Office Supplies,3350.65,29, Active,nan,,nan
